DEBUG:PIL.PngImagePlugin:STREAM b'IHDR' 16 13
DEBUG:PIL.PngImagePlugin:STREAM b'pHYs' 41 9
DEBUG:PIL.PngImagePlugin:STREAM b'iTXt' 62 1666
DEBUG:PIL.PngImagePlugin:STREAM b'IDAT' 1740 71177
INFO:root:	Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.06666666666666667
INFO:root:Pixel at (187, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (187, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (186, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (185, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (184, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (183, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (182, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (181, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (180, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (179, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (178, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (177, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (176, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
